Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+14.42285156 +3.27832031 -7.64208984 -174.19921875 +34.45312500 -128.54003906 +1554150042.64389992 +704
+14.41406250 +3.27392578 -7.62890625 -174.17724609 +34.38720703 -128.51806641 +1554150042.64800000 +704
+14.40527344 +3.26953125 -7.62011719 -174.13330078 +34.36523438 -128.51806641 +1554150042.65219998 +704
+14.39648438 +3.26513672 -7.60693359 -174.08935547 +34.32128906 -128.49609375 +1554150042.65639997 +700
+14.37890625 +3.26074219 -7.58496094 -174.00146484 +34.27734375 -128.47412109 +1554150042.66470003 +696
+14.37011719 +3.25634766 -7.57177734 -173.93554688 +34.25537109 -128.45214844 +1554150042.66890001 +696
+14.36572266 +3.25195313 -7.56298828 -173.89160156 +34.23339844 -128.40820313 +1554150042.67300010 +692
+14.35693359 +3.24755859 -7.54980469 -173.86962891 +34.21142578 -128.38623047 +1554150042.67720008 +688
+14.33935547 +3.24316406 -7.53222656 -173.78173828 +34.16748047 -128.32031250 +1554150042.68549991 +684
+14.33056641 +3.24316406 -7.51904297 -173.73779297 +34.16748047 -128.29833984 +1554150042.68969989 +680
+14.32617188 +3.24316406 -7.51025391 -173.69384766 +34.14550781 -128.27636719 +1554150042.69379997 +680
+14.32177734 +3.23876953 -7.50146484 -173.64990234 +34.16748047 -128.25439453 +1554150042.69799995 +676
+14.30859375 +3.23876953 -7.48388672 -173.58398438 +34.14550781 -128.18847656 +1554150042.70630002 +676
+14.30419922 +3.23437500 -7.47509766 -173.54003906 +34.12353516 -128.14453125 +1554150042.71050000 +672
+14.29541016 +3.23437500 -7.46630859 -173.49609375 +34.10156250 -128.12255859 +1554150042.71469998 +672
+14.29101563 +3.23437500 -7.46191406 -173.47412109 +34.10156250 -128.10058594 +1554150042.71880007 +672
+14.28222656 +3.22998047 -7.44873047 -173.40820313 +34.07958984 -128.07861328 +1554150042.72720003 +668
+14.27783203 +3.22558594 -7.43994141 -173.38623047 +34.07958984 -128.05664063 +1554150042.73130012 +668
+14.27343750 +3.22558594 -7.43554688 -173.36425781 +34.05761719 -128.03466797 +1554150042.73550010 +668
+14.26904297 +3.22119141 -7.43115234 -173.34228516 +34.05761719 -128.01269531 +1554150042.73970008 +668
+14.26025391 +3.21679688 -7.42236328 -173.29833984 +34.01367188 -127.99072266 +1554150042.74799991 +664
+14.25585938 +3.21679688 -7.41796875 -173.25439453 +34.01367188 -127.96875000 +1554150042.75209999 +664
+14.25146484 +3.21679688 -7.41357422 -173.23242188 +34.01367188 -127.96875000 +1554150042.75629997 +664
+14.24707031 +3.21240234 -7.40478516 -173.21044922 +34.01367188 -127.96875000 +1554150042.76049995 +660
+14.24707031 +3.21240234 -7.40039063 -173.18847656 +34.01367188 -127.96875000 +1554150042.76460004 +660
+14.24267578 +3.21240234 -7.39599609 -173.16650391 +33.99169922 -127.96875000 +1554150042.76880002 +656
+14.23828125 +3.21240234 -7.39160156 -173.14453125 +33.99169922 -127.96875000 +1554150042.77300000 +656
+14.23388672 +3.21240234 -7.38720703 -173.12255859 +33.99169922 -127.96875000 +1554150042.77710009 +656
+14.22949219 +3.21240234 -7.38281250 -173.10058594 +33.99169922 -127.99072266 +1554150042.78130007 +652
+14.22949219 +3.21679688 -7.37841797 -173.05664063 +33.99169922 -128.01269531 +1554150042.78550005 +652
+14.22509766 +3.21679688 -7.37402344 -173.03466797 +33.99169922 -128.03466797 +1554150042.78959990 +652
+14.22070313 +3.22119141 -7.36962891 -173.01269531 +33.99169922 -128.07861328 +1554150042.79380012 +648
+14.21630859 +3.22119141 -7.36523438 -172.99072266 +33.99169922 -128.10058594 +1554150042.79800010 +648
+14.20751953 +3.22558594 -7.36083984 -172.96875000 +33.96972656 -128.21044922 +1554150042.80629992 +644
+14.20312500 +3.22558594 -7.35644531 -172.94677734 +33.96972656 -128.25439453 +1554150042.81049991 +644
+14.19873047 +3.22558594 -7.35644531 -172.94677734 +33.94775391 -128.32031250 +1554150042.81459999 +640
+14.19433594 +3.22998047 -7.35644531 -172.94677734 +33.94775391 -128.38623047 +1554150042.81879997 +640
+14.18554688 +3.22998047 -7.35205078 -172.94677734 +33.92578125 -128.54003906 +1554150042.82710004 +636
