Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+11.79931641 -5.32617188 -10.52929688 +100.01953125 +14.69970703 +164.09179688 +1554150183.59060001 +1088
+11.78613281 -5.31738281 -10.53369141 +99.82177734 +14.67773438 +164.64111328 +1554150183.59480000 +1080
+11.77734375 -5.31298828 -10.53369141 +99.62402344 +14.72167969 +165.16845703 +1554150183.59899998 +1076
+11.76855469 -5.30419922 -10.53369141 +99.44824219 +14.74365234 +165.71777344 +1554150183.60310006 +1068
+11.75097656 -5.29101563 -10.53808594 +99.22851563 +14.76562500 +166.28906250 +1554150183.60730004 +1064
+11.73779297 -5.28222656 -10.53369141 +99.03076172 +14.85351563 +166.83837891 +1554150183.61150002 +1056
+11.72900391 -5.26464844 -10.52490234 +98.83300781 +14.91943359 +167.38769531 +1554150183.61560011 +1052
+11.71582031 -5.25146484 -10.52490234 +98.63525391 +15.00732422 +167.93701172 +1554150183.61980009 +1048
+11.70703125 -5.23828125 -10.51611328 +98.41552734 +15.13916016 +168.46435547 +1554150183.62400007 +1040
+11.69384766 -5.21630859 -10.50732422 +98.21777344 +15.22705078 +168.96972656 +1554150183.62809992 +1036
+11.68505859 -5.19873047 -10.49853516 +98.02001953 +15.33691406 +169.47509766 +1554150183.63229990 +1032
+11.67626953 -5.18115234 -10.48974609 +97.82226563 +15.49072266 +169.95849609 +1554150183.63649988 +1028
+11.66748047 -5.15478516 -10.48095703 +97.62451172 +15.62255859 +170.44189453 +1554150183.64059997 +1024
+11.66308594 -5.13281250 -10.47216797 +97.42675781 +15.75439453 +170.90332031 +1554150183.64479995 +1020
+11.65429688 -5.11083984 -10.45898438 +97.22900391 +15.90820313 +171.36474609 +1554150183.64890003 +1012
+11.64990234 -5.08007813 -10.45019531 +97.05322266 +16.04003906 +171.78222656 +1554150183.65310001 +1012
+11.64550781 -5.05810547 -10.43701172 +96.85546875 +16.19384766 +172.15576172 +1554150183.65730000 +1008
+11.63671875 -5.03173828 -10.42382813 +96.65771484 +16.34765625 +172.55126953 +1554150183.66140008 +1004
+11.63232422 -5.00097656 -10.41503906 +96.48193359 +16.45751953 +172.92480469 +1554150183.66560006 +1004
+11.63232422 -4.97460938 -10.40625000 +96.30615234 +16.58935547 +173.27636719 +1554150183.66980004 +1000
+11.62792969 -4.94384766 -10.39306641 +96.10839844 +16.74316406 +173.62792969 +1554150183.67389989 +1000
+11.62353516 -4.91308594 -10.38427734 +95.93261719 +16.87500000 +173.93554688 +1554150183.67810011 +996
+11.61914063 -4.88232422 -10.37548828 +95.73486328 +17.00683594 +174.26513672 +1554150183.68230009 +996
+11.61474609 -4.85595703 -10.36230469 +95.53710938 +17.16064453 +174.57275391 +1554150183.68639994 +992
+11.61035156 -4.82080078 -10.35351563 +95.36132813 +17.29248047 +174.85839844 +1554150183.69059992 +992
+11.60156250 -4.79003906 -10.34472656 +95.16357422 +17.42431641 +175.14404297 +1554150183.69479990 +988
+11.59716797 -4.75927734 -10.33154297 +94.96582031 +17.60009766 +175.40771484 +1554150183.69889998 +988
+11.59716797 -4.71972656 -10.31835938 +94.81201172 +17.77587891 +175.69335938 +1554150183.70309997 +984
+11.58837891 -4.68457031 -10.30517578 +94.61425781 +17.92968750 +175.97900391 +1554150183.70729995 +984
+11.58398438 -4.65380859 -10.29199219 +94.41650391 +18.14941406 +176.28662109 +1554150183.71140003 +980
+11.57519531 -4.60986328 -10.27880859 +94.26269531 +18.34716797 +176.61621094 +1554150183.71560001 +976
+11.56640625 -4.57031250 -10.26123047 +94.08691406 +18.54492188 +176.96777344 +1554150183.71980000 +976
+11.56640625 -4.53515625 -10.24365234 +93.88916016 +18.80859375 +177.31933594 +1554150183.72390008 +972
+11.56201172 -4.49121094 -10.22607422 +93.77929688 +19.05029297 +177.69287109 +1554150183.72810006 +968
+11.55322266 -4.44726563 -10.20410156 +93.60351563 +19.31396484 +178.08837891 +1554150183.73219991 +968
+11.54882813 -4.41650391 -10.18652344 +93.42773438 +19.59960938 +178.57177734 +1554150183.73639989 +960
+11.54882813 -4.36816406 -10.17333984 +93.33984375 +19.88525391 +179.09912109 +1554150183.74060011 +956
+11.54003906 -4.32421875 -10.14257813 +93.20800781 +20.17089844 +179.60449219 +1554150183.74469995 +952
+11.53564453 -4.29345703 -10.12060547 +93.05419922 +20.50048828 -179.75830078 +1554150183.74889994 +948
+11.53564453 -4.24951172 -10.10742188 +92.96630859 +20.80810547 -179.12109375 +1554150183.75309992 +940
+11.53125000 -4.20556641 -10.07226563 +92.87841797 +21.13769531 -178.52783203 +1554150183.75720000 +936
+11.53125000 -4.17480469 -10.05029297 +92.76855469 +21.48925781 -177.78076172 +1554150183.76139998 +928
+11.53125000 -4.13085938 -10.02832031 +92.72460938 +21.81884766 -177.01171875 +1554150183.76559997 +920
+11.53125000 -4.09570313 -9.99316406 +92.65869141 +22.17041016 -176.30859375 +1554150183.76970005 +916
+11.52685547 -4.06494141 -9.96679688 +92.59277344 +22.56591797 -175.47363281 +1554150183.77390003 +908
+11.53125000 -4.02539063 -9.94921875 +92.59277344 +22.91748047 -174.59472656 +1554150183.77810001 +900
+11.53564453 -3.98583984 -9.90966797 +92.57080078 +23.29101563 -173.80371094 +1554150183.78220010 +896
+11.53564453 -3.95507813 -9.88330078 +92.57080078 +23.70849609 -172.90283203 +1554150183.78640008 +888
+11.54003906 -3.91552734 -9.85693359 +92.61474609 +24.08203125 -172.00195313 +1554150183.79060006 +884
+11.54882813 -3.87597656 -9.81298828 +92.65869141 +24.49951172 -171.16699219 +1554150183.79469991 +880
+11.54882813 -3.84960938 -9.78662109 +92.68066406 +24.96093750 -170.20019531 +1554150183.79889989 +872
+11.55322266 -3.80566406 -9.76025391 +92.76855469 +25.37841797 -169.21142578 +1554150183.80299997 +868
+11.56640625 -3.76611328 -9.71630859 +92.85644531 +25.81787109 -168.33251953 +1554150183.80719995 +868
+11.57080078 -3.73535156 -9.68115234 +92.92236328 +26.34521484 -167.32177734 +1554150183.81139994 +860
+11.58398438 -3.69140625 -9.65039063 +93.07617188 +26.80664063 -166.33300781 +1554150183.81550002 +856
+11.59716797 -3.64746094 -9.60205078 +93.18603516 +27.31201172 -165.43212891 +1554150183.81970000 +860
+11.60595703 -3.62109375 -9.56689453 +93.29589844 +27.88330078 -164.35546875 +1554150183.82389998 +852
+11.61474609 -3.57275391 -9.53173828 +93.49365234 +28.38867188 -163.30078125 +1554150183.82800007 +852
+11.63671875 -3.52880859 -9.47900391 +93.62548828 +28.93798828 -162.37792969 +1554150183.83220005 +852
+11.64550781 -3.50244141 -9.43945313 +93.75732422 +29.55322266 -161.30126953 +1554150183.83640003 +848
+11.66308594 -3.45849609 -9.39990234 +93.95507813 +30.12451172 -160.22460938 +1554150183.84050012 +844
+11.68505859 -3.41455078 -9.34277344 +94.08691406 +30.73974609 -159.27978516 +1554150183.84470010 +844
+11.69384766 -3.38818359 -9.29882813 +94.24072266 +31.42089844 -158.18115234 +1554150183.84890008 +840
+11.71142578 -3.33984375 -9.25927734 +94.46044922 +32.01416016 -157.12646484 +1554150183.85299993 +836
+11.73779297 -3.29589844 -9.19775391 +94.63623047 +32.65136719 -156.18164063 +1554150183.85719991 +840
+11.74658203 -3.26513672 -9.15380859 +94.79003906 +33.35449219 -155.06103516 +1554150183.86139989 +836
+11.76855469 -3.21240234 -9.11425781 +95.05371094 +33.99169922 -153.96240234 +1554150183.86549997 +832
+11.79931641 -3.16406250 -9.05273438 +95.22949219 +34.65087891 -153.03955078 +1554150183.86969995 +840
+11.81250000 -3.13330078 -9.00439453 +95.44921875 +35.39794922 -151.89697266 +1554150183.87389994 +832
