Sensor position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+14.47558594 +2.76416016 -4.53515625 -131.30859375 +74.02587891 -92.35107422 +1554322409.05570006 +640
+16.21142578 -2.15332031 -5.57666016 +142.07519531 +54.71191406 -68.31298828 +1554322409.05570006 +980
+14.47558594 +2.76855469 -4.53515625 -131.28662109 +74.00390625 -92.39501953 +1554322409.05990005 +640
+16.20703125 -2.15332031 -5.57666016 +142.07519531 +54.71191406 -68.37890625 +1554322409.05990005 +976
+14.47558594 +2.77294922 -4.53515625 -131.24267578 +73.98193359 -92.41699219 +1554322409.06410003 +640
+16.20703125 -2.15332031 -5.57226563 +142.05322266 +54.73388672 -68.42285156 +1554322409.06410003 +976
+14.47558594 +2.77294922 -4.53515625 -131.22070313 +73.93798828 -92.46093750 +1554322409.06820011 +640
+16.21142578 -2.15332031 -5.56787109 +142.05322266 +54.73388672 -68.48876953 +1554322409.06820011 +980
+14.47558594 +2.77734375 -4.53515625 -131.22070313 +73.91601563 -92.50488281 +1554322409.07240009 +640
+16.21142578 -2.15332031 -5.56347656 +142.03125000 +54.75585938 -68.55468750 +1554322409.07240009 +980
+14.47998047 +2.78173828 -4.53515625 -131.17675781 +73.89404297 -92.54882813 +1554322409.07660007 +640
+16.20703125 -2.15771484 -5.56347656 +142.03125000 +54.77783203 -68.62060547 +1554322409.07660007 +980
+14.47998047 +2.78173828 -4.53515625 -131.15478516 +73.87207031 -92.57080078 +1554322409.08069992 +640
+16.20703125 -2.15771484 -5.55908203 +142.00927734 +54.77783203 -68.66455078 +1554322409.08069992 +980
+14.47998047 +2.78173828 -4.53515625 -131.13281250 +73.85009766 -92.59277344 +1554322409.08489990 +640
+16.20703125 -2.16210938 -5.55468750 +142.00927734 +54.79980469 -68.70849609 +1554322409.08489990 +980
+14.47998047 +2.78613281 -4.53515625 -131.11083984 +73.82812500 -92.61474609 +1554322409.08909988 +640
+16.20703125 -2.16210938 -5.55468750 +141.98730469 +54.79980469 -68.77441406 +1554322409.08909988 +980
+14.47998047 +2.78613281 -4.53076172 -131.08886719 +73.80615234 -92.63671875 +1554322409.09319997 +640
+16.20263672 -2.16650391 -5.55029297 +141.94335938 +54.82177734 -68.84033203 +1554322409.09319997 +980
+14.48437500 +2.78613281 -4.53076172 -131.06689453 +73.78417969 -92.65869141 +1554322409.09739995 +644
+16.20263672 -2.17089844 -5.55029297 +141.92138672 +54.82177734 -68.88427734 +1554322409.09739995 +984
+14.48437500 +2.78613281 -4.53076172 -131.06689453 +73.78417969 -92.68066406 +1554322409.10159993 +644
+16.20263672 -2.17089844 -5.54589844 +141.89941406 +54.84375000 -68.95019531 +1554322409.10159993 +984
+14.48437500 +2.78613281 -4.53076172 -131.04492188 +73.76220703 -92.70263672 +1554322409.10570002 +644
+16.19824219 -2.17529297 -5.54150391 +141.87744141 +54.84375000 -68.99414063 +1554322409.10570002 +988
+14.48437500 +2.78613281 -4.52636719 -131.04492188 +73.74023438 -92.70263672 +1554322409.10990000 +644
+16.19824219 -2.17968750 -5.54150391 +141.87744141 +54.84375000 -69.03808594 +1554322409.10990000 +988
+14.48876953 +2.78613281 -4.52636719 -131.02294922 +73.74023438 -92.70263672 +1554322409.11409998 +644
+16.19384766 -2.18408203 -5.54150391 +141.85546875 +54.84375000 -69.08203125 +1554322409.11409998 +992
+14.48876953 +2.78613281 -4.52636719 -131.00097656 +73.71826172 -92.72460938 +1554322409.11820006 +644
+16.18945313 -2.18408203 -5.54150391 +141.83349609 +54.84375000 -69.10400391 +1554322409.11820006 +992
+14.48876953 +2.78613281 -4.52636719 -131.00097656 +73.69628906 -92.72460938 +1554322409.12240005 +644
+16.18945313 -2.18847656 -5.54150391 +141.83349609 +54.84375000 -69.14794922 +1554322409.12240005 +996
+14.49316406 +2.78613281 -4.52636719 -130.97900391 +73.69628906 -92.72460938 +1554322409.12649989 +644
+16.18505859 -2.19287109 -5.54150391 +141.81152344 +54.86572266 -69.16992188 +1554322409.12649989 +996
+14.49316406 +2.78613281 -4.52636719 -130.97900391 +73.67431641 -92.74658203 +1554322409.13070011 +644
+16.18505859 -2.19287109 -5.54150391 +141.81152344 +54.86572266 -69.21386719 +1554322409.13070011 +996
+14.49316406 +2.78613281 -4.52636719 -130.95703125 +73.65234375 -92.74658203 +1554322409.13490009 +644
+16.18066406 -2.19726563 -5.54150391 +141.81152344 +54.86572266 -69.23583984 +1554322409.13490009 +1000
+14.49755859 +2.79052734 -4.52636719 -130.95703125 +73.65234375 -92.76855469 +1554322409.13899994 +644
+16.18066406 -2.19726563 -5.54150391 +141.81152344 +54.86572266 -69.25781250 +1554322409.13899994 +1000
+14.49755859 +2.79052734 -4.52636719 -130.95703125 +73.63037109 -92.79052734 +1554322409.14319992 +644
+16.18066406 -2.19726563 -5.54150391 +141.83349609 +54.84375000 -69.30175781 +1554322409.14319992 +1000
+14.49755859 +2.79052734 -4.52636719 -130.93505859 +73.60839844 -92.81250000 +1554322409.14739990 +644
+16.17626953 -2.19726563 -5.54589844 +141.83349609 +54.84375000 -69.32373047 +1554322409.14739990 +1000
+14.49755859 +2.79492188 -4.52636719 -130.93505859 +73.60839844 -92.81250000 +1554322409.15149999 +644
+16.17626953 -2.19726563 -5.54589844 +141.83349609 +54.84375000 -69.34570313 +1554322409.15149999 +1000
+14.50195313 +2.79492188 -4.52636719 -130.93505859 +73.58642578 -92.83447266 +1554322409.15569997 +640
+16.17187500 -2.19726563 -5.55029297 +141.85546875 +54.84375000 -69.36767578 +1554322409.15569997 +1000
+14.50195313 +2.79931641 -4.52636719 -130.91308594 +73.56445313 -92.85644531 +1554322409.15989995 +640
+16.17187500 -2.19726563 -5.55029297 +141.85546875 +54.84375000 -69.38964844 +1554322409.15989995 +1000
+14.50195313 +2.79931641 -4.52636719 -130.91308594 +73.54248047 -92.87841797 +1554322409.16400003 +640
+16.17187500 -2.19287109 -5.55029297 +141.87744141 +54.84375000 -69.41162109 +1554322409.16400003 +1000
+14.50634766 +2.79931641 -4.52636719 -130.89111328 +73.54248047 -92.87841797 +1554322409.16820002 +640
+16.17187500 -2.19287109 -5.55468750 +141.87744141 +54.84375000 -69.45556641 +1554322409.16820002 +1000
+14.50634766 +2.80371094 -4.53076172 -130.89111328 +73.52050781 -92.90039063 +1554322409.17240000 +640
+16.16748047 -2.19287109 -5.55468750 +141.89941406 +54.84375000 -69.47753906 +1554322409.17240000 +1000
+14.50634766 +2.80371094 -4.53076172 -130.86914063 +73.49853516 -92.92236328 +1554322409.17650008 +640
+16.16748047 -2.18847656 -5.55468750 +141.89941406 +54.84375000 -69.52148438 +1554322409.17650008 +1000
+14.50634766 +2.80810547 -4.53076172 -130.86914063 +73.47656250 -92.94433594 +1554322409.18070006 +636
+16.16748047 -2.18847656 -5.55468750 +141.92138672 +54.84375000 -69.54345703 +1554322409.18070006 +1000
+14.51074219 +2.81250000 -4.53076172 -130.84716797 +73.45458984 -92.94433594 +1554322409.18490005 +636
+16.16748047 -2.18847656 -5.55468750 +141.92138672 +54.84375000 -69.58740234 +1554322409.18490005 +1000
+14.51074219 +2.81250000 -4.53076172 -130.82519531 +73.43261719 -92.96630859 +1554322409.18899989 +636
+16.16748047 -2.18847656 -5.55029297 +141.92138672 +54.86572266 -69.63134766 +1554322409.18899989 +1000
+14.51513672 +2.81250000 -4.53076172 -130.80322266 +73.41064453 -92.96630859 +1554322409.19320011 +636
+16.16748047 -2.18408203 -5.55029297 +141.92138672 +54.86572266 -69.67529297 +1554322409.19320011 +1000
+14.51513672 +2.81689453 -4.53076172 -130.78125000 +73.38867188 -92.96630859 +1554322409.19740009 +636
+16.16748047 -2.18408203 -5.55029297 +141.92138672 +54.88769531 -69.69726563 +1554322409.19740009 +1000
+14.51513672 +2.82128906 -4.53515625 -130.75927734 +73.36669922 -92.96630859 +1554322409.20149994 +636
+16.16748047 -2.18408203 -5.54589844 +141.92138672 +54.90966797 -69.76318359 +1554322409.20149994 +1000
+14.51953125 +2.82128906 -4.53515625 -130.71533203 +73.32275391 -92.96630859 +1554322409.20569992 +636
+16.16748047 -2.18408203 -5.54589844 +141.92138672 +54.93164063 -69.80712891 +1554322409.20569992 +1004
+14.51953125 +2.82568359 -4.53515625 -130.69335938 +73.30078125 -92.96630859 +1554322409.20980000 +636
+16.16748047 -2.18408203 -5.54150391 +141.89941406 +54.95361328 -69.85107422 +1554322409.20980000 +1004
+14.51953125 +2.83007813 -4.53515625 -130.64941406 +73.27880859 -92.96630859 +1554322409.21399999 +636
+16.16748047 -2.18408203 -5.53710938 +141.87744141 +54.97558594 -69.91699219 +1554322409.21399999 +1004
+14.52392578 +2.83447266 -4.53515625 -130.60546875 +73.23486328 -92.94433594 +1554322409.21819997 +636
+16.16748047 -2.18408203 -5.53271484 +141.85546875 +55.01953125 -69.96093750 +1554322409.21819997 +1008
+14.52392578 +2.83447266 -4.53515625 -130.56152344 +73.21289063 -92.94433594 +1554322409.22230005 +636
+16.16748047 -2.18847656 -5.52832031 +141.83349609 +55.04150391 -70.00488281 +1554322409.22230005 +1008
+14.52392578 +2.83886719 -4.53955078 -130.51757813 +73.16894531 -92.92236328 +1554322409.22650003 +636
+16.16748047 -2.18847656 -5.52392578 +141.83349609 +55.06347656 -70.04882813 +1554322409.22650003 +1012
+14.52832031 +2.84326172 -4.53955078 -130.47363281 +73.14697266 -92.87841797 +1554322409.23070002 +636
+16.16748047 -2.18847656 -5.51953125 +141.81152344 +55.10742188 -70.09277344 +1554322409.23070002 +1016
+14.52832031 +2.84765625 -4.53955078 -130.40771484 +73.12500000 -92.85644531 +1554322409.23480010 +636
+16.16748047 -2.18847656 -5.51513672 +141.78955078 +55.12939453 -70.13671875 +1554322409.23480010 +1016
+14.52832031 +2.85205078 -4.53955078 -130.34179688 +73.08105469 -92.83447266 +1554322409.23900008 +636
+16.16748047 -2.18847656 -5.50634766 +141.76757813 +55.15136719 -70.18066406 +1554322409.23900008 +1020
+14.52832031 +2.85644531 -4.54394531 -130.27587891 +73.05908203 -92.79052734 +1554322409.24320006 +636
+16.16308594 -2.18847656 -5.50195313 +141.74560547 +55.19531250 -70.22460938 +1554322409.24320006 +1024
+14.52832031 +2.86523438 -4.54394531 -130.23193359 +73.03710938 -92.76855469 +1554322409.24729991 +636
+16.16308594 -2.18847656 -5.49755859 +141.70166016 +55.21728516 -70.26855469 +1554322409.24729991 +1024
+14.52832031 +2.86523438 -4.54394531 -130.16601563 +73.01513672 -92.72460938 +1554322409.25149989 +640
+16.16308594 -2.18847656 -5.49316406 +141.67968750 +55.23925781 -70.29052734 +1554322409.25149989 +1028
+14.52832031 +2.86962891 -4.54394531 -130.07812500 +72.97119141 -92.65869141 +1554322409.25570011 +640
+16.16308594 -2.19287109 -5.48876953 +141.65771484 +55.26123047 -70.33447266 +1554322409.25570011 +1032
+14.52832031 +2.87402344 -4.54833984 -130.01220703 +72.94921875 -92.61474609 +1554322409.25979996 +640
+16.16308594 -2.19287109 -5.48876953 +141.63574219 +55.28320313 -70.35644531 +1554322409.25979996 +1032
+14.52832031 +2.87841797 -4.54833984 -129.94628906 +72.92724609 -92.57080078 +1554322409.26399994 +640
+16.16308594 -2.19287109 -5.48437500 +141.63574219 +55.30517578 -70.37841797 +1554322409.26399994 +1036
+14.52832031 +2.88281250 -4.54833984 -129.88037109 +72.90527344 -92.50488281 +1554322409.26819992 +640
+16.15869141 -2.19287109 -5.47998047 +141.61376953 +55.32714844 -70.40039063 +1554322409.26819992 +1036
+14.52832031 +2.88720703 -4.54833984 -129.81445313 +72.88330078 -92.46093750 +1554322409.27230000 +640
+16.15869141 -2.18847656 -5.47558594 +141.61376953 +55.34912109 -70.42236328 +1554322409.27230000 +1040
+14.52832031 +2.88720703 -4.55273438 -129.74853516 +72.86132813 -92.41699219 +1554322409.27649999 +640
+16.15869141 -2.18847656 -5.47558594 +141.59179688 +55.37109375 -70.46630859 +1554322409.27649999 +1040
+14.52832031 +2.89160156 -4.55273438 -129.68261719 +72.83935547 -92.35107422 +1554322409.28060007 +640
+16.15869141 -2.18847656 -5.47119141 +141.59179688 +55.37109375 -70.48828125 +1554322409.28060007 +1044
+14.52832031 +2.89599609 -4.55273438 -129.61669922 +72.81738281 -92.28515625 +1554322409.28480005 +640
+16.15869141 -2.18847656 -5.47119141 +141.59179688 +55.39306641 -70.48828125 +1554322409.28480005 +1044
+14.52832031 +2.89599609 -4.55712891 -129.55078125 +72.77343750 -92.24121094 +1554322409.28900003 +640
+16.15429688 -2.18408203 -5.46679688 +141.59179688 +55.41503906 -70.51025391 +1554322409.28900003 +1044
+14.52832031 +2.90039063 -4.55712891 -129.48486328 +72.75146484 -92.17529297 +1554322409.29310012 +640
+16.15429688 -2.18408203 -5.46679688 +141.59179688 +55.41503906 -70.51025391 +1554322409.29310012 +1044
